tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
695,2013-06-01 00:00:01,2013-06-01 00:11:36,444,Broadway & W 24 St,40.7423543,-73.98915076,434,9 Ave & W 18 St,40.74317449,-74.00366443,19678,Subscriber,1983,1
693,2013-06-01 00:00:08,2013-06-01 00:11:41,444,Broadway & W 24 St,40.7423543,-73.98915076,434,9 Ave & W 18 St,40.74317449,-74.00366443,16649,Subscriber,1984,1
2059,2013-06-01 00:00:44,2013-06-01 00:35:03,406,Hicks St & Montague St,40.69512845,-73.99595065,406,Hicks St & Montague St,40.69512845,-73.99595065,19599,Customer,0,0
123,2013-06-01 00:01:04,2013-06-01 00:03:07,475,E 15 St & Irving Pl,40.73524276,-73.98758561,262,Washington Park,40.6917823,-73.9737299,16352,Subscriber,1960,1
1521,2013-06-01 00:01:22,2013-06-01 00:26:43,2008,Little West St & 1 Pl,40.70569254,-74.01677685,310,State St & Smith St,40.68926942,-73.98912867,15567,Subscriber,1983,1
2028,2013-06-01 00:01:47,2013-06-01 00:35:35,485,W 37 St & 5 Ave,40.75038009,-73.98338988,406,Hicks St & Montague St,40.69512845,-73.99595065,18445,Customer,0,0
2057,2013-06-01 00:02:33,2013-06-01 00:36:50,285,Broadway & E 14 St,40.73454567,-73.99074142,532,S 5 Pl & S 5 St,40.710451,-73.960876,15693,Subscriber,1991,1
139929,2013-06-01 00:02:39,2013-06-02 14:54:48,432,E 7 St & Avenue A,40.72621788,-73.98379855,402,Broadway & E 22 St,40.7403432,-73.98955109,19570,Subscriber,1983,2
369,2013-06-01 00:03:29,2013-06-01 00:09:38,509,9 Ave & W 22 St,40.7454973,-74.00197139,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,16100,Subscriber,1981,1
512,2013-06-01 00:03:36,2013-06-01 00:12:08,309,Murray St & West St,40.7149787,-74.013012,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19080,Subscriber,1979,2
505,2013-06-01 00:03:45,2013-06-01 00:12:10,309,Murray St & West St,40.7149787,-74.013012,347,Greenwich St & W Houston St,40.728846,-74.008591,16798,Subscriber,1984,1
1829,2013-06-01 00:03:47,2013-06-01 00:34:16,265,Stanton St & Chrystie St,40.72229346,-73.99147535,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,15234,Subscriber,1984,1
829,2013-06-01 00:04:22,2013-06-01 00:18:11,404,9 Ave & W 14 St,40.7405826,-74.00550867,303,Mercer St & Spring St,40.72362738,-73.99949601,16400,Subscriber,1987,1
1316,2013-06-01 00:04:28,2013-06-01 00:26:24,423,W 54 St & 9 Ave,40.76584941,-73.98690506,314,Cadman Plaza West & Montague St,40.69383,-73.990539,19781,Subscriber,1960,1
1456,2013-06-01 00:04:41,2013-06-01 00:28:57,502,Henry St & Grand St,40.714215,-73.981346,532,S 5 Pl & S 5 St,40.710451,-73.960876,18886,Customer,0,0
386,2013-06-01 00:05:13,2013-06-01 00:11:39,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,365,Fulton St & Grand Ave,40.68223166,-73.9614583,19039,Subscriber,1981,1
924,2013-06-01 00:05:21,2013-06-01 00:20:45,486,Broadway & W 29 St,40.7462009,-73.98855723,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,16608,Customer,0,0
1233,2013-06-01 00:06:44,2013-06-01 00:27:17,527,E 33 St & 2 Ave,40.744023,-73.976056,296,Division St & Bowery,40.71413089,-73.9970468,14761,Subscriber,1987,1
833,2013-06-01 00:07:29,2013-06-01 00:21:22,503,E 20 St & Park Ave,40.73827428,-73.98751968,503,E 20 St & Park Ave,40.73827428,-73.98751968,19072,Customer,0,0
1818,2013-06-01 00:08:10,2013-06-01 00:38:28,257,Lispenard St & Broadway,40.71939226,-74.00247214,500,Broadway & W 51 St,40.76228826,-73.98336183,20349,Customer,0,0
553,2013-06-01 00:08:47,2013-06-01 00:18:00,489,10 Ave & W 28 St,40.75066386,-74.00176802,448,W 37 St & 10 Ave,40.75660359,-73.9979009,17995,Subscriber,1986,1
682,2013-06-01 00:08:53,2013-06-01 00:20:15,486,Broadway & W 29 St,40.7462009,-73.98855723,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,20176,Customer,0,0
899,2013-06-01 00:09:25,2013-06-01 00:24:24,494,W 26 St & 8 Ave,40.74734825,-73.99723551,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15539,Subscriber,1967,1
626,2013-06-01 00:09:52,2013-06-01 00:20:18,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,382,University Pl & E 14 St,40.73492695,-73.99200509,17122,Subscriber,1982,1
219,2013-06-01 00:10:28,2013-06-01 00:14:07,305,E 58 St & 3 Ave,40.76095756,-73.96724467,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16301,Subscriber,1977,1
339,2013-06-01 00:10:45,2013-06-01 00:16:24,480,W 53 St & 10 Ave,40.76669671,-73.99061728,432,E 7 St & Avenue A,40.72621788,-73.98379855,15628,Subscriber,1969,1
511,2013-06-01 00:10:50,2013-06-01 00:19:21,223,W 13 St & 7 Ave,40.73781509,-73.99994661,345,W 13 St & 6 Ave,40.73649403,-73.99704374,19853,Subscriber,1979,1
97,2013-06-01 00:11:00,2013-06-01 00:12:37,453,W 22 St & 8 Ave,40.74475148,-73.99915362,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18614,Subscriber,1985,1
547,2013-06-01 00:11:04,2013-06-01 00:20:11,432,E 7 St & Avenue A,40.72621788,-73.98379855,0,,,,17470,Subscriber,1980,1
198,2013-06-01 00:11:10,2013-06-01 00:14:28,476,E 31 St & 3 Ave,40.74394314,-73.97966069,461,E 20 St & 2 Ave,40.73587678,-73.98205027,17615,Subscriber,1982,1
482,2013-06-01 00:11:30,2013-06-01 00:19:32,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,401,Allen St & Rivington St,40.72019576,-73.98997825,18970,Customer,0,0
395,2013-06-01 00:11:52,2013-06-01 00:18:27,312,Allen St & Stanton St,40.722055,-73.989111,410,Suffolk St & Stanton St,40.72066442,-73.98517977,19477,Subscriber,1970,1
